stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Usuario\source\repos\Vanessa-webusr\JogoEmpilha\Debug\allegro5.cfg r
system   D            wsystem.c:819  maybe_parent_dir                 [   0.00000] Also searching C:\Users\Usuario\source\repos\Vanessa-webusr\JogoEmpilha\
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.00000] PathFindOnPath failed to find shcore.dll
system   D            wsystem.c:819  maybe_parent_dir                 [   0.00000] Also searching C:\Users\Usuario\source\repos\Vanessa-webusr\JogoEmpilha\
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\user32.dll
system   D            wsystem.c:780  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\user32.dll
system   I            wsystem.c:783  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\user32.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.7
system   D            wsystem.c:819  maybe_parent_dir                 [   0.00241] Also searching C:\Users\Usuario\source\repos\Vanessa-webusr\JogoEmpilha\
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.00331] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:780  load_library_at_path             [   0.00349] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:783  load_library_at_path             [   0.01485] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:684  d3d_init_display                 [   0.02803] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.03021] faux_fullscreen=1
d3d      D         d3d_disp.cpp:1783 d3d_create_display_locked        [   0.03035] al_display=00609CD8
d3d      D         d3d_disp.cpp:1784 d3d_create_display_locked        [   0.03044] al_display->vt=005EB9A8
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.03139] found 288 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.03153] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03163] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03172] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03182] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03190] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.03200] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.03207] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.03215] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.03223] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
